FIPS,State,County,Unreliable,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Driving Deaths with Alcohol Involvement,Average Daily PM2.5,% Drive Alone to Work,% Long Commute - Drives Alone,Unnamed: 0,NatWalkInd,D4A,TotEmp,TotPop,D2A_JPHH,D5AR,CBSA_POP,CBSA_EMP,Pct_AO0,D4C,Pct_AO1,Pct_AO2p,D3APO,D3AAO,D4D
48117,Texas,Deaf Smith County,,24.1,4.1788857639,4.7783423973,6.9341474051,40.4,7.9,34.5,80.277673142,5.2631578947,5.8,81.649952245,14.2,78,6.725490196352942,,458.4705882352941,1111.7058823529412,1.124984412,3365.3529411764707,18899.0,7794.0,0.0514016994117647,,0.2986098434705882,0.6499884570588236,14.017315281470587,0.0807883621764705,
48119,Texas,Delta County,,17.3,3.8176643825,5.2711271189,6.2231759657,36.7,7.3,25.0,61.223709369,42.857142857,8.7,90.234023402,45.2,81,4.125,,209.0,1303.75,0.46007865525,3092.5,0.0,0.0,0.0905386265,,0.25422737775,0.6552339952499999,2.401132292,0.70589480375,
48121,Texas,Denton County,,12.2,2.7718785564,4.2352643774,7.3799521099,30.2,8.1,20.3,92.379598024,22.222222222,10.0,73.746184868,45.6,82,9.52557319221164,576.3558333333334,626.989417989418,2135.0449735449733,1.0218508255661376,230340.39947089943,7189384.0,3545715.0,0.0283101283042328,4.600322580645161,0.2800169310449735,0.6916729406084656,14.078000000481484,1.8760079018994709,17.79399401584516
48123,Texas,DeWitt County,,20.8,4.0240671291,4.89834637,8.371559633,39.1,7.4,29.7,64.775020178,21.739130435,9.2,83.089741839,33.7,77,6.509803921588236,,384.11764705882354,1202.0588235294117,1.1166336544117648,2531.058823529412,0.0,0.0,0.0509043631764705,,0.2863032057647058,0.662792431117647,4.3846188579411765,0.3457659834117647,
48125,Texas,Dickens County,x,20.5,3.9820079853,4.8350489439,11.382113821,38.1,6.9,28.9,60.621468927,42.857142857,6.3,73.826714801,42.3,83,5.388888888666666,,99.66666666666669,738.6666666666666,0.385050947,173.66666666666666,0.0,0.0,0.0855069803333333,,0.4149204233333334,0.4995725963333333,1.8401235833333327,0.3830963746666667,
48127,Texas,Dimmit County,,33.0,5.0221110485,5.0342983218,7.8651685393,45.7,3.5,42.7,80.777713291,8.0,9.0,88.637251074,21.8,84,7.7380952384285715,,656.4285714285714,1523.2857142857142,1.1405281175714286,2327.5714285714284,0.0,0.0,0.1449121201428571,,0.3538373758571428,0.5012505041428571,11.301995193,0.1143148408571428,
48129,Texas,Donley County,x,16.1,3.655181393,5.1458797572,11.304347826,36.8,7.7,24.0,78.667894414,12.5,6.1,80.33589923,23.1,85,6.3333333335,,288.25,846.75,0.86367179225,664.25,0.0,0.0,0.023800908,,0.3652254729999999,0.6109736192499999,3.684067003,0.4457304085,
48133,Texas,Eastland County,,18.8,4.0506283796,5.1720923402,8.2079343365,38.4,6.1,27.7,59.864598025,26.829268293,7.7,78.243398393,20.3,88,6.631578947526315,,358.57894736842104,961.578947368421,1.2276425702105265,1701.1052631578948,0.0,0.0,0.0763032367894736,,0.4047565581052631,0.5189402051578947,5.87780089636842,0.6806707186842105,
48135,Texas,Ector County,,20.4,3.7854792434,4.7393577755,9.0676080859,39.6,7.2,31.1,72.106483584,37.096774194,7.6,81.494399081,30.9,89,7.634556575036696,,615.7706422018349,1452.6788990825687,1.4400394382935782,32847.4128440367,158342.0,67119.0,0.0440046369541284,,0.3455477278256881,0.6104476351743119,13.689374013137614,0.746802088972477,
48137,Texas,Edwards County,x,25.1,4.400889002,4.891831154,7.0967741935,40.6,7.2,34.3,66.807313643,0.0,7.3,78.214826021,31.4,90,6.583333333000001,,173.5,1027.5,0.469180791,200.5,0.0,0.0,0.0155555555,,0.3377118645,0.64673258,2.599552832,0.1031167875,
48139,Texas,Ellis County,,15.5,3.4018468547,4.7611044799,7.2161642078,34.7,7.8,24.0,55.306954873,26.451612903,9.7,80.25821035,48.6,93,6.0780141842127655,,513.0425531914893,1796.148936170213,1.2975451152446809,81956.32978723405,7189384.0,3545715.0,0.0302037229680851,,0.2624893519148936,0.7073069250851064,6.21125123843617,1.376127166074468,
48141,Texas,El Paso County,,22.8,3.9272624808,4.8269158573,8.4655168433,37.7,6.8,30.3,81.793366195,27.864583333,8.8,78.601589866,29.5,92,11.571150097508772,441.8859420289855,635.2904483430799,1632.8538011695907,1.5063214141267058,63925.84795321638,841752.0,326612.0,0.0846608948479532,6.071244444444444,0.3331369192222222,0.5763542326861598,15.14529545257115,1.9920433737192984,32.72506336669778
48143,Texas,Erath County,,16.4,3.6180718772,4.8840122627,6.652555186,34.3,6.2,23.8,70.419555764,20.0,8.2,78.555316313,21.7,94,6.764367816275862,,558.0689655172414,1430.4137931034484,1.404573052896552,5054.896551724138,41482.0,16184.0,0.0573337763448275,,0.2878711579999999,0.6547950656896551,6.859105612655172,0.4731146975172414,
48145,Texas,Falls County,,23.7,4.4465025929,5.3400478615,9.3510118632,40.8,6.6,31.9,37.293729373,36.666666667,9.0,81.101680236,45.8,97,5.961538461538462,,187.3846153846154,1330.6923076923076,0.4329868436153846,5829.461538461538,265728.0,111945.0,0.1366700405384615,,0.3422294947692308,0.5211004648461539,5.96703008,0.9155389105384616,
48147,Texas,Fannin County,,17.6,3.802294327,4.9893556612,8.4288052373,35.2,6.7,25.2,33.576355785,24.193548387,8.9,77.127951675,47.8,98,5.283333333233333,,214.7333333333333,1139.1666666666667,0.5174888159666666,5869.3,34175.0,6442.0,0.0444347322999999,,0.3138895655,0.6083423688666667,3.1763146622,0.6361243920666666,
48149,Texas,Fayette County,,16.3,3.5595008064,4.8885839392,7.6968973747,36.7,7.7,24.6,54.728872519,13.513513514,9.3,84.492890995,21.8,99,6.13333333348,,321.76,1002.64,0.96119168816,2660.16,0.0,0.0,0.06155233608,,0.24945941676,0.6889882472000001,3.56182950188,0.8900017355600001,
48151,Texas,Fisher County,x,16.5,3.4892274385,4.6838768476,11.743772242,37.8,7.7,25.2,42.701525054,37.5,7.2,82.510964912,31.5,100,5.8666666674,,156.8,776.6,0.6288746468,946.8,0.0,0.0,0.045929819,,0.3238484054,0.6302217756,6.7981693512,0.294635563,
